time,chunk_id,stt_latency_ms,tt_latency_ms,tts_latency_ms,total_latency_ms,transcription,translation
2025-06-14 22:21:41,308 - 20,341.91,496.14,8298.25,39648.61, i dag vil jeg tale om energi og, Today I will talk about energy and
2025-06-14 22:21:43,291 - 35,239.70,699.38,1982.05,38510.82, klima og det kan måske virke lidt, climate and it may seem a little
2025-06-14 22:21:45,792 - 51,250.47,736.64,2500.96,37690.13, fordi mit fuldtidsarbejde i fonden, because my full-time work in the fund
2025-06-14 22:21:48,423 - 67,117.06,746.53,2630.55,36992.84, hovedsageligt handler om vacciner og frø om de, is mainly about vaccines and seeds about the
2025-06-14 22:21:50,879 - 82,119.80,740.49,2455.40,36320.10, ting vi skal opfinde og lavere for at hjælpe, things we need to invent and lower to help
2025-06-14 22:21:53,292 - 99,235.70,823.85,2413.51,35219.66, de fattigste milliarder mennesker til et bedre liv, the poorest billion people for a better life
2025-06-14 22:21:56,961 - 114,258.35,762.19,3667.86,35757.67, men energi og klima er ekstremt vigtigt for, but energy and climate are extremely important for
2025-06-14 22:21:59,959 - 129,120.51,770.33,2998.48,35634.18, disse mennesker faktisk vigtigere end for nogen, these people actually more important than for anyone
2025-06-14 22:22:02,512 - 145,143.02,685.51,2552.43,34862.03, andre på kloden det forværrede, others on the globe it deteriorated
2025-06-14 22:22:05,025 - 160,108.58,670.91,2512.98,34264.53, klima betyder at deres afgrøder i mange år, climate means that their crops for many years
2025-06-14 22:22:07,404 - 179,248.80,764.66,2378.53,32684.86, ikke vil vokse at det vil være for meget, will not grow that it will be too much
2025-06-14 22:22:09,460 - 194,149.35,778.84,2055.58,31633.52, regn eller for lidt regn og er tingene, rain or too little rain and is things
2025-06-14 22:22:12,043 - 209,149.29,767.48,2582.46,31091.62, at tingene vil ændre sig på måder som deres, that things will change in ways like theirs
2025-06-14 22:22:14,871 - 229,277.97,723.30,2827.34,29811.47, skrøbelige miljø simpelthen ikke kan klare og det, fragile environment simply cannot cope and that
2025-06-14 22:22:16,840 - 245,276.20,741.42,1968.22,28497.28, fører til sult det fører til usikkerhed det, leads to hunger it leads to uncertainty it
2025-06-14 22:22:19,624 - 261,202.90,738.46,2784.64,27971.39, fører til uro så klimaforandringerne vil være, leads to unrest so climate change will be
2025-06-14 22:22:22,035 - 276,156.66,739.76,2410.03,27301.22, forfærdelige for dem også prisen på, terrible for them also the price of
2025-06-14 22:22:24,353 - 291,134.93,686.60,2318.22,26521.41, energi er meget vigtigt for dem, energy is very important for them
2025-06-14 22:22:27,035 - 306,136.80,742.76,2681.22,26125.40, faktisk hvis man kunne vælge én ting at sænke, actually if one could choose one thing to lower
2025-06-14 22:22:33,183 - 324,277.23,960.37,6147.65,28561.54, prisen på for at reducere fattigdommen betydeligt ville man, the price of to reduce poverty significantly you would have to
2025-06-14 22:22:35,433 - 339,171.46,659.71,2249.77,27715.47, vælge energi prisen på energi og, energy price of energy and
2025-06-14 22:22:37,655 - 354,179.22,635.13,2221.69,26845.03, energi er faldet over tid, energy has fallen over time
2025-06-14 22:22:40,805 - 370,133.64,660.01,3149.98,26676.38, virkelig avanceret civilisation er baseret på, really advanced civilization is based on
2025-06-14 22:22:42,494 - 385,171.52,607.73,1684.91,25267.45, fremskridt inden for energi, progress in energy
2025-06-14 22:22:44,783 - 400,136.85,552.16,2288.45,24460.08, revolutionen drev den industrielle, the revolution drives the industrial
2025-06-14 22:22:47,269 - 415,159.71,755.11,2485.66,23859.60, revolution og selv i 1900 tallet, revolution and even in the 1900s
2025-06-14 22:22:49,767 - 430,186.01,783.75,2498.34,23276.35, set et meget hurtigt fald i prisen på, seen a very rapid drop in the price of
2025-06-14 22:22:51,943 - 446,157.67,670.99,2174.92,22138.51, elektricitet og det er, electricity and it is
2025-06-14 22:22:52,918 - 462,307.35,449.02,975.12,19812.37, har, has
2025-06-14 22:22:56,109 - 478,138.31,554.10,3190.60,19702.84, kan fremstille moderne materialer og gøre så mange, can produce modern materials and make so many
2025-06-14 22:22:57,916 - 493,169.52,693.32,1806.70,18399.26, ting og derfor er vi i, things and therefore we are in
2025-06-14 22:23:01,800 - 508,164.74,722.29,3883.53,19188.23, en vidunderlig situation ved elektricitet i den rige, a wonderful situation of electricity in the rich
2025-06-14 22:23:04,421 - 526,266.09,771.28,2620.41,18100.47, verden men når vi gør den billigere lærer, world but when we make the cheaper teacher
2025-06-14 22:23:05,015 - 545,212.83,659.00,593.80,14785.65, øøhhm, uhhm
2025-06-14 22:23:16,695 - 560,366.15,907.00,11680.38,23393.21, lære sige lars gør den dobbelt så billig skal vi imødekomme en ny begrænsning og den, learning say lars makes it twice as cheap must we meet a new limitation and the
2025-06-14 22:23:18,830 - 575,145.61,936.32,2133.97,22438.45, begrænsning har at gøre med, limitation has to do with
2025-06-14 22:23:21,253 - 590,141.87,713.40,2422.29,21780.43, co2 opvarmer planeten og ligningen for, co2 heats the planet and equation for
2025-06-14 22:23:24,639 - 606,190.64,906.34,3385.52,21864.85, co2 er faktisk meget enkelt hvis man, co2 is actually very simple if one
2025-06-14 22:23:25,917 - 622,140.35,594.69,1278.31,19872.60, summerer co2, Summing co2
