time,chunk_id,stt_latency_ms,tt_latency_ms,tts_latency_ms,total_latency_ms,transcription,translation
2025-06-14 18:19:59,664 - 20,537.26,1105.90,13038.69,16654.78, One day Los Angeles Times columnist Steve Lopez was walking along this, En dag Los Angeles gange spalteskribenten Steve Lopez gik langs denne
2025-06-14 18:20:03,456 - 40,526.72,1331.65,3791.43,16270.57, streets of downtown Los Angeles when he heard beautiful music., gader i downtown los angeles da han hørte smukke musik.
2025-06-14 18:20:07,043 - 60,587.69,1156.94,3587.13,15696.59, And the source was a man an African American man., og kilden var en mand en afrikansk amerikansk mand.
2025-06-14 18:20:09,637 - 80,516.11,905.36,2592.90,14154.59, Charming rugged homeless., charmerende robust hjemløs.
2025-06-14 18:20:12,780 - 103,572.20,894.38,3142.75,12547.11, Playing a violin that only had two strings., spiller en violin der kun havde to strenge.
2025-06-14 18:20:17,808 - 123,613.61,1273.90,5024.63,13459.47, I'm not worried that many of you know because Steve's columns became the basis..., jeg er ikke bekymret for at mange af jer ved fordi Steve kolonner blev grundlaget for...
2025-06-14 18:20:22,335 - 143,613.05,1700.57,4526.71,13888.63, for a book which was turned into a movie with Robert Downey Jr. acting..., for en bog der blev forvandlet til en film med Robert downey jr. skuespil...
2025-06-14 18:20:26,836 - 163,534.15,1732.70,4500.52,14259.73, as Steve Lopez and Jamie Foxx as Nathaniel Anthony Ayers., som steve lopez og jamie rævx som Nathaniel anthony ayers.
2025-06-14 18:20:31,047 - 183,570.17,1413.27,4209.01,14352.47, The Juilliard Train double-basist whose promising career was cut short., den juilliard tog dobbeltbasist hvis lovende karriere blev afbrudt.
2025-06-14 18:20:34,460 - 204,520.77,1160.99,3413.06,13433.67, By a tragic affliction with paranoid schizophrenia., af en tragisk lidelse med paranoid skizofreni.
2025-06-14 18:20:40,907 - 225,623.53,1273.72,6445.39,15573.48, Nathaniel dropped out of Juilliard. He suffered a complete breakdown and 30 years later., Nathaniel faldt ud af juilliard. han led et fuldstændigt sammenbrud og 30 år senere.
2025-06-14 18:20:44,989 - 245,559.39,1571.96,4081.35,15514.37, He was living homeless on the streets of Skid Row in downtown Los Angeles., han levede hjemløs på gaderne i skid række i downtown los angeles.
2025-06-14 18:20:49,666 - 265,623.94,1443.22,4676.62,16060.21, I encourage all of you to read Steve's book or to watch the movie to under-, jeg opfordrer jer alle til at læse Steve bog eller til at se filmen til under
2025-06-14 18:20:53,527 - 285,560.87,1171.31,3860.07,15776.07, stand not only the beautiful bond that formed between these two men, stå ikke kun den smukke bånd der dannede mellem disse to mænd
2025-06-14 18:20:57,956 - 306,525.90,1219.02,4428.83,15859.12, but how music helped shape that bond and ultimately,  men hvordan musik hjalp med at forme denne obligation og i sidste ende
2025-06-14 18:21:03,035 - 326,572.59,1397.62,5077.24,16816.93, was instrumental if you'll pardon the pun in helping Nathaniel get off., var instrumental hvis du vil benåde ordspillet i at hjælpe Nathaniel komme ud.
2025-06-14 18:21:05,442 - 346,516.63,1229.06,2403.48,15085.22, I met Mr. Ayers in 2008., jeg mødte mr. ayers i 2008.
2025-06-14 18:21:11,121 - 367,599.10,1225.68,5678.47,16447.32, Two years ago at Walt Disney Concert Hall he had just heard a performance of Beethoven's, to år siden på walt disney koncertsal han havde lige hørt en opførelse af beethovens
2025-06-14 18:21:17,318 - 387,567.63,1585.87,6196.90,18502.20, first and fourth symphonies and came backstage and introduced himself when speaking., første og fjerde symfonier og kom backstage og introducerede sig selv når han talte.
2025-06-14 18:21:20,963 - 407,722.33,1498.76,3644.72,18031.23, In a very jovial and gregarious way about Yo-Yo Ma and Hil-, på en meget jovial og grådig måde om yo-yo ma og hil
2025-06-14 18:21:24,971 - 427,574.80,1421.92,4007.40,17890.54, Hillary Clinton and how the Dodgers were never going to make the World Series all because-, hillary clinton og hvordan dodgers aldrig ville gøre verden series alle fordi
2025-06-14 18:21:33,541 - 447,598.16,1459.92,8569.06,22340.00, of the treacherous first violent passage work in the last movement of Beethoven's fourth., af den forræderiske første voldelige passage arbejde i den sidste bevægelse af beethovens fjerde.
2025-06-14 18:21:36,101 - 467,512.34,1098.12,2559.22,20738.53, And we got talking about music., og vi fik taler om musik.
2025-06-14 18:21:43,430 - 487,610.46,1240.61,7328.63,23937.32, I got an email from Steve a few days later saying that Nathaniel was interested in a violin lesson., jeg fik en e-mail fra Steve et par dage senere siger at Nathaniel var interesseret i en violin lektion.
2025-06-14 18:21:46,753 - 508,531.38,1354.28,3321.88,22902.01, With me. Now I should mention that Nathaniel refuses., med mig. nu bør jeg nævne at Nathaniel nægter.
2025-06-14 18:21:50,371 - 528,570.63,1015.96,3617.12,22413.84, His treatment. Because when he was treated it was with shock therapy., hans behandling. fordi da han blev behandlet det var med shock terapi.
2025-06-14 18:21:52,952 - 548,652.05,1137.22,2581.40,20878.83, And Thorazine and handcuffs and that scar has stayed with me., og thrazin og håndjern og arret er blevet hos mig.
2025-06-14 18:21:56,927 - 569,639.12,1331.24,3974.17,20505.96, With him for his entire life. But as a result now he is prone to..., med ham for hele hans liv. men som et resultat nu han er tilbøjelige til at...
2025-06-14 18:22:00,706 - 589,546.47,1405.99,3778.94,20172.80, these schizophrenic episodes. The worst of which can manifest himself..., disse skizofrene episoder. den værste af dem kan manifestere sig selv...
