language,chunk_size,speaker,wer,cer,comet-score,stt_time,tt_time,tts_time,total_time
en,3000,speaker_1,0.18143459915611815,0.11059907834101383,0.6462433934211731,"[638.95, 629.3, 585.22, 663.36, 659.98, 538.74, 499.17, 495.76, 504.18, 506.77, 495.98, 501.0, 489.3, 496.32, 483.02, 639.7, 470.88, 519.85, 497.46, 570.98, 563.85, 506.08, 503.72, 428.64, 513.72, 519.57, 529.13, 637.75, 526.71, 541.03, 537.58, 530.01, 552.03, 585.99]","[770.81, 1331.01, 1065.7, 1177.26, 1423.59, 1118.34, 926.1, 757.54, 847.14, 825.19, 804.63, 699.3, 804.6, 677.32, 1094.66, 1109.09, 885.44, 810.08, 852.16, 914.81, 1135.47, 1042.11, 953.72, 809.4, 715.21, 776.96, 945.92, 1211.91, 1165.29, 963.3, 990.63, 978.25, 949.64, 1314.24]","[19503.35, 8506.92, 2982.81, 6891.27, 4187.45, 4209.43, 2882.89, 2933.1, 3119.82, 2567.82, 2256.58, 2463.16, 2437.2, 1655.21, 2804.06, 3499.21, 2772.32, 2533.82, 2888.77, 4307.41, 3744.69, 2623.66, 3235.19, 2854.12, 3522.2, 2679.95, 3431.84, 5255.22, 2560.47, 4163.22, 3858.36, 4145.0, 3182.71, 3612.9]","[27317.51, 32159.37, 32073.88, 35904.86, 36823.81, 37570.9, 37191.06, 36661.42, 35709.1, 34607.31, 33593.66, 32797.93, 32187.89, 30386.09, 30137.48, 29558.38, 29283.2, 27962.77, 26976.32, 28037.72, 27718.63, 27289.68, 27279.52, 27073.75, 26509.66, 25735.42, 26118.17, 28317.87, 27623.7, 28728.39, 29534.47, 30616.6, 30744.04, 30485.09]"
en,3000,speaker_2,0.13448275862068965,0.10506085842408712,0.7902495861053467,"[569.82, 527.66, 492.73, 543.86, 533.52, 543.21, 536.09, 580.41, 490.92, 487.19, 538.43, 474.26, 469.37, 480.68, 499.92, 481.19, 494.12, 680.55, 484.95, 534.97, 488.47, 478.82, 491.21, 517.46, 510.29, 536.27, 495.12, 582.36, 432.9, 506.9, 579.07, 505.84, 515.28, 517.38, 524.44, 494.9, 498.74, 967.99]","[431.59, 803.65, 926.18, 922.3, 954.86, 923.66, 736.52, 865.07, 908.8, 810.66, 950.07, 992.57, 925.5, 908.35, 868.21, 869.91, 898.9, 987.95, 890.99, 801.87, 831.62, 752.3, 809.39, 942.48, 1108.54, 1172.52, 1059.19, 1174.26, 1002.69, 892.4, 1170.08, 1177.23, 1111.93, 825.8, 803.12, 773.84, 966.09, 676.11]","[4651.49, 6210.82, 5450.65, 2899.48, 3043.65, 2799.63, 2627.34, 4966.44, 2645.96, 2605.08, 3752.09, 3451.25, 3167.33, 3138.92, 3392.86, 3497.25, 3129.9, 4292.12, 3294.99, 3490.88, 2964.19, 3291.52, 3748.98, 3854.54, 3951.42, 3178.82, 2986.9, 4506.45, 2768.47, 3770.55, 3713.98, 2873.45, 3115.37, 2359.15, 2843.6, 2282.0, 2620.54, 2494.46]","[10065.51, 13214.37, 15399.93, 15235.18, 15214.66, 14330.68, 13698.24, 15408.85, 13984.58, 13337.56, 14050.2, 14461.47, 14381.26, 14476.06, 14620.4, 14856.51, 14738.06, 15978.66, 16228.99, 16672.45, 15765.38, 16010.2, 15907.7, 16712.66, 17611.72, 17739.59, 17670.51, 18718.91, 18239.78, 17947.9, 18600.61, 18029.04, 18101.75, 17202.64, 16797.7, 15817.84, 14775.7, 16662.02]"
en,3000,speaker_3,0.18210862619808307,0.12266500622665007,0.6742944121360779,"[531.35, 478.11, 454.33, 532.8, 486.24, 475.44, 481.24, 508.5, 487.87, 504.71, 527.4, 539.07, 550.5, 482.39, 644.63, 1193.74, 526.92, 491.35, 495.02, 606.7, 477.66, 549.49, 573.01, 634.96, 572.37, 523.48, 561.41, 476.92, 556.44, 502.89, 708.51, 492.72, 519.34, 484.7, 524.66, 602.72, 535.51]","[654.73, 816.95, 710.56, 1065.77, 1154.63, 950.46, 846.54, 812.28, 971.84, 947.3, 833.89, 1007.55, 1101.73, 955.76, 892.94, 921.35, 1035.07, 929.61, 904.15, 977.67, 970.22, 754.14, 1105.21, 1250.89, 923.29, 981.29, 1054.58, 882.31, 850.02, 895.8, 896.29, 949.11, 771.15, 813.93, 971.15, 1220.69, 1171.68]","[6668.78, 2018.18, 2090.17, 5009.15, 2487.47, 2792.63, 2199.85, 3230.83, 7124.25, 2957.03, 3383.33, 4301.06, 4473.28, 2998.21, 2523.4, 2519.73, 3278.01, 2395.5, 3283.34, 3407.23, 2736.85, 3596.73, 5613.8, 5113.31, 3809.06, 3262.63, 4304.84, 1921.1, 4100.42, 2715.34, 4369.54, 2262.08, 3165.95, 2722.63, 2867.99, 3677.59, 1972.97]","[14445.03, 12983.84, 12014.18, 13548.88, 12767.71, 12300.98, 10852.23, 11017.67, 15100.71, 14801.54, 15129.01, 16176.66, 17598.13, 17529.41, 16396.45, 15855.98, 15250.97, 14595.3, 14834.04, 14560.44, 14244.11, 14170.08, 16303.38, 17496.9, 18203.63, 17539.28, 18770.93, 17367.51, 18355.07, 17992.24, 18191.91, 17358.41, 17406.97, 17054.67, 16823.97, 16584.21, 15876.27]"
en,3000,speaker_4,0.19939577039274925,0.13153549807374793,0.7012036442756653,"[502.36, 572.12, 499.81, 487.0, 489.63, 539.9, 564.34, 584.61, 525.29, 495.05, 503.26, 529.85, 587.2, 540.37, 504.63, 487.6, 480.06, 486.05, 522.77, 563.5, 558.77, 500.48, 519.46, 468.86, 542.54, 555.25, 500.9, 501.27, 518.39, 532.4, 550.4, 578.26, 515.85, 515.66, 492.85, 665.3, 2030.51]","[536.83, 947.79, 848.8, 909.1, 878.91, 852.0, 1030.43, 791.04, 941.9, 918.78, 1054.21, 1236.84, 1231.58, 1206.17, 1056.01, 866.99, 805.86, 866.56, 988.72, 1121.88, 1102.97, 1084.16, 907.06, 853.43, 1083.16, 1167.66, 1005.63, 914.58, 928.16, 1001.08, 1029.94, 978.36, 969.81, 731.69, 754.22, 950.25, 823.9]","[6287.88, 6187.89, 3186.4, 3647.08, 2412.84, 2212.8, 3103.31, 2790.08, 4638.34, 3192.12, 4359.15, 4368.92, 4924.19, 3209.61, 4881.73, 2689.32, 3689.15, 3390.74, 3951.95, 2535.94, 3222.07, 3575.7, 3343.82, 2503.31, 3155.55, 3780.56, 3249.88, 2206.39, 3636.63, 6357.25, 4679.46, 3710.33, 2742.23, 3213.96, 2513.74, 2845.49, 2187.33]","[11823.01, 14911.5, 14961.92, 15507.69, 14810.63, 13718.58, 13707.45, 12593.67, 14136.8, 13843.46, 14701.25, 15982.08, 17621.53, 17516.9, 19324.5, 18921.23, 19304.03, 19563.24, 20199.22, 19659.4, 19789.55, 19655.11, 19930.4, 19139.99, 19186.99, 19860.14, 20006.51, 19140.95, 19477.27, 22334.68, 23708.41, 23292.0, 22746.02, 22848.47, 22088.73, 21860.71, 22812.75]"
en,3000,speaker_5,0.088,0.0774025974025974,0.8014752268791199,"[548.58, 515.2, 535.76, 587.0, 528.67, 560.73, 533.16, 476.58, 537.84, 474.66, 481.55, 528.38, 474.07, 478.74, 512.41, 538.09, 549.88, 576.24, 489.5, 575.38, 567.97, 487.61, 647.57, 550.71, 583.72, 533.7, 558.84, 587.61, 568.66, 509.58, 652.38, 560.78, 496.02, 506.78, 531.35, 550.71, 544.12, 461.52]","[563.51, 916.41, 1107.92, 1120.97, 799.52, 880.63, 920.52, 531.47, 813.26, 942.2, 1060.43, 1119.07, 961.78, 795.2, 747.87, 904.14, 1202.44, 1324.65, 1058.04, 1122.9, 1375.82, 1113.51, 1292.5, 1716.13, 1488.98, 1421.28, 1226.5, 1197.09, 1152.31, 877.47, 772.53, 1035.43, 904.49, 901.56, 1015.44, 922.15, 1176.54, 1165.02]","[8055.59, 5625.49, 6612.3, 3048.43, 2668.77, 2763.77, 2874.81, 3289.3, 2703.92, 3295.34, 3562.8, 3805.43, 3332.81, 3456.14, 2501.09, 4274.17, 4425.36, 4855.94, 2516.85, 4588.03, 4288.18, 2196.6, 8024.26, 4873.92, 4519.78, 4354.29, 3671.88, 2514.21, 3893.49, 3094.39, 3529.51, 3075.02, 2362.92, 2638.18, 2959.4, 4191.08, 3778.77, 2219.94]","[13859.31, 16382.33, 19876.42, 19611.81, 19148.64, 18604.6, 18373.14, 18363.01, 17350.3, 17534.19, 17776.08, 18466.51, 18065.85, 18422.57, 17816.37, 18973.92, 20306.45, 21869.7, 21314.67, 22424.35, 23408.67, 22481.97, 26816.4, 28179.75, 29400.19, 30668.77, 31229.35, 30633.16, 30818.8, 30391.27, 30606.53, 29987.97, 29262.16, 28813.08, 28468.68, 29554.72, 30235.92, 29960.01]"
en,3000,speaker_6,0.10632911392405063,0.07505070993914807,0.7692582607269287,"[550.79, 643.02, 535.81, 532.61, 514.38, 528.43, 523.96, 520.7, 625.31, 582.85, 507.48, 529.13, 522.17, 522.8, 479.05, 505.15, 513.32, 508.51, 477.55, 557.01, 519.13, 466.41, 524.08, 567.51, 489.23, 533.94, 503.56, 587.8, 577.34, 11189.75, 559.41, 595.96, 636.98, 615.56, 604.45, 556.93, 594.43, 514.3]","[980.69, 1147.38, 1041.0, 992.87, 946.91, 1034.17, 1148.67, 960.46, 1149.53, 1234.83, 964.86, 958.37, 1044.11, 1070.87, 1013.77, 1056.32, 863.64, 842.15, 882.73, 1134.41, 1014.33, 819.09, 885.04, 1051.87, 1007.34, 940.87, 910.22, 888.42, 1014.98, 1770.18, 1311.37, 1083.45, 1277.71, 1140.09, 1206.67, 1087.28, 1144.72, 1145.42]","[11049.76, 3527.11, 2662.93, 2693.52, 3821.51, 5004.85, 3891.65, 3695.07, 6675.46, 3434.73, 3238.36, 3488.44, 3937.32, 3099.18, 3891.07, 3751.17, 2853.23, 3235.85, 3287.22, 4438.28, 3036.19, 3390.46, 4621.2, 7057.61, 4749.03, 2985.92, 3442.02, 3490.48, 4148.24, 3310.78, 3983.3, 2440.49, 4002.52, 3824.56, 4493.08, 3334.48, 4224.45, 2195.67]","[16387.64, 16794.93, 16120.3, 15700.21, 16179.1, 18087.15, 18881.67, 19040.94, 22423.51, 22768.35, 22917.5, 23275.97, 24118.21, 23499.82, 24326.12, 24745.89, 24490.85, 24630.78, 24815.86, 26175.35, 25495.49, 25793.61, 26925.56, 30073.47, 31739.81, 31266.72, 30969.7, 31155.89, 31592.61, 31809.39, 32694.32, 32038.71, 32725.81, 33447.34, 34840.34, 35080.69, 36213.97, 35720.13]"
en,3000,speaker_7,0.13583815028901733,0.10538116591928251,0.7645042538642883,"[517.06, 476.89, 536.68, 514.95, 565.63, 479.29, 490.53, 545.37, 460.89, 592.19, 519.04, 543.45, 547.47, 561.04, 534.44, 503.63, 549.18, 549.3, 517.41, 546.31, 526.9, 559.09, 546.67, 546.42, 510.82, 510.88, 465.33, 545.92, 512.86, 611.84, 546.85, 575.73, 538.41, 514.23, 527.45, 527.52, 572.03, 530.56]","[577.54, 850.49, 830.68, 889.61, 1083.68, 917.63, 984.41, 1109.97, 1087.01, 1218.58, 959.76, 787.77, 1084.13, 1387.1, 896.75, 716.28, 935.26, 1008.33, 894.86, 943.85, 1149.31, 992.3, 956.47, 1100.15, 1025.84, 800.59, 928.06, 1014.31, 909.61, 941.62, 1012.17, 987.46, 934.05, 902.15, 968.24, 1019.25, 1138.77, 893.66]","[7717.02, 2838.58, 2429.72, 5273.61, 3409.28, 2136.69, 3450.86, 2574.36, 3485.69, 3404.94, 2853.27, 2509.03, 4953.91, 5725.19, 2419.96, 2405.31, 4375.0, 2982.99, 3586.18, 3513.36, 3365.67, 4081.76, 3711.36, 5109.56, 3178.4, 2330.07, 3109.21, 3598.06, 3086.12, 3764.4, 3465.05, 4398.68, 3275.11, 2453.98, 4181.22, 2745.72, 3867.99, 2166.93]","[13165.81, 12899.94, 11799.31, 13754.02, 13203.39, 12260.88, 12604.94, 11880.49, 12261.76, 12166.31, 11333.19, 10744.89, 12373.29, 15002.94, 14344.12, 13250.01, 13700.02, 13591.82, 13865.55, 14276.98, 14550.26, 14698.96, 15318.48, 17350.12, 17217.65, 16461.24, 16472.8, 16782.37, 16759.42, 17423.04, 17795.42, 19110.08, 19101.98, 18466.2, 19562.1, 19201.69, 19980.43, 18834.03]"
en,3000,speaker_8,0.11428571428571428,0.08062709966405375,0.8004629015922546,"[605.28, 2184.07, 601.61, 517.75, 636.97, 526.93, 472.87, 492.26, 506.28, 483.33, 502.91, 569.55, 517.93, 632.66, 544.63, 503.16, 530.54, 500.24, 588.91, 497.97, 515.93, 537.57, 578.03, 543.56, 504.63, 538.76, 479.7, 554.18, 507.28, 543.95, 518.55, 578.77, 550.46, 639.62, 502.83, 618.51, 503.38, 521.75]","[1122.43, 1328.81, 938.53, 905.31, 979.15, 990.9, 714.27, 816.47, 896.09, 917.58, 1033.84, 1167.9, 1168.88, 939.17, 844.86, 923.79, 1027.55, 1026.48, 1169.58, 885.45, 880.92, 1005.76, 1065.69, 1011.15, 833.97, 890.79, 970.95, 1016.73, 894.07, 970.96, 1097.02, 995.54, 966.19, 849.8, 879.45, 1173.62, 1105.02, 690.33]","[8484.47, 2553.34, 3774.54, 2656.91, 2858.54, 2085.5, 2941.88, 3595.55, 2568.85, 6447.36, 2985.35, 5247.33, 4561.92, 3553.81, 2524.41, 3887.28, 4357.0, 3607.43, 3768.01, 2120.03, 3253.37, 2816.15, 3723.67, 3274.91, 3944.77, 3259.14, 4104.93, 3872.98, 2098.9, 7532.88, 3834.89, 3736.42, 3086.22, 2971.81, 2421.38, 4675.61, 3663.66, 2283.42]","[14107.85, 13549.54, 14208.68, 13759.83, 13284.84, 12283.79, 12131.08, 12641.19, 12109.9, 15282.88, 15179.35, 17322.42, 18799.5, 19257.95, 18475.06, 19258.49, 20523.35, 21030.69, 21721.41, 20571.58, 20728.85, 20467.83, 21114.86, 21280.36, 21907.86, 22079.94, 23109.02, 23889.14, 22919.43, 27155.92, 27067.36, 27711.62, 27685.61, 27567.89, 26705.28, 28293.87, 28873.28, 29488.63]"
en,3000,speaker_9,0.11733333333333333,0.0858456821665815,0.7432374358177185,"[605.4, 581.05, 607.63, 597.71, 556.32, 652.1, 471.09, 512.31, 568.76, 559.65, 628.63, 519.04, 525.35, 568.41, 551.49, 482.47, 531.29, 447.16, 555.2, 553.02, 562.04, 609.17, 510.88, 532.0, 588.02, 540.59, 513.45, 537.72, 540.22, 541.45, 501.47, 538.21, 497.63, 563.93, 499.95, 514.32, 550.77, 734.47]","[1026.94, 1497.38, 1395.28, 1443.9, 1285.45, 1182.81, 1169.49, 878.9, 768.65, 1219.47, 1375.88, 1115.01, 1006.4, 1108.15, 967.59, 814.95, 820.67, 763.16, 888.42, 1289.72, 1214.9, 1161.93, 1006.05, 944.97, 1203.87, 1105.87, 901.42, 797.89, 1167.36, 1295.33, 983.81, 850.35, 844.61, 945.45, 950.19, 999.0, 1454.07, 819.27]","[11847.66, 4101.39, 3978.7, 3855.1, 5878.53, 8455.84, 3439.14, 2904.95, 3689.78, 3851.97, 4555.62, 4062.69, 4050.72, 3863.03, 3485.69, 3673.63, 3031.07, 2552.9, 4175.11, 4028.73, 3352.93, 3737.98, 2997.08, 3136.92, 4076.81, 3353.84, 3189.49, 3619.91, 4302.67, 2425.62, 2751.34, 3672.1, 3235.69, 3587.63, 3339.06, 3275.72, 8303.19, 2258.37]","[18306.59, 18876.77, 19736.43, 20248.14, 23042.95, 28368.79, 28700.8, 27911.67, 28499.03, 29062.0, 30535.23, 31496.56, 32451.46, 33211.94, 33383.04, 33955.84, 33880.36, 32681.71, 33770.23, 34701.82, 34772.24, 35021.88, 34731.23, 34767.67, 35742.81, 35985.75, 36068.0, 36392.1, 37590.79, 36472.58, 36125.43, 36493.51, 36629.53, 37111.73, 36955.9, 37155.22, 41540.25, 43388.0]"
en,3000,speaker_10,0.14035087719298245,0.10738255033557047,0.7501552700996399,"[509.57, 534.39, 490.56, 540.13, 513.28, 549.42, 551.22, 546.27, 592.15, 546.84, 525.33, 519.3, 475.18, 531.58, 539.55, 510.97, 580.84, 552.53, 500.11, 587.87, 480.38, 518.91, 536.3, 561.71, 553.39, 541.81, 568.83, 491.75, 521.41, 575.04, 557.12, 491.72, 486.46, 607.83, 496.89, 636.56, 515.79, 530.52, 445.43]","[1141.77, 1202.04, 890.27, 767.25, 903.9, 854.41, 886.59, 894.68, 1090.07, 1382.34, 1249.02, 951.33, 864.38, 1154.96, 1219.17, 1129.67, 1283.57, 1193.81, 1185.8, 1201.77, 1125.47, 940.28, 1074.64, 1235.15, 1213.48, 1239.3, 1230.67, 1044.02, 992.58, 1154.62, 1407.34, 1031.95, 702.55, 787.14, 821.43, 1231.2, 1245.36, 1159.54, 760.2]","[12352.32, 4090.16, 2464.83, 3220.63, 2697.21, 3392.33, 3391.07, 3259.23, 4045.05, 4517.6, 3638.99, 3030.31, 3304.66, 4550.34, 3812.09, 3169.67, 4646.68, 3092.93, 3074.69, 5551.44, 3126.57, 2968.01, 3764.34, 5157.98, 5166.37, 3829.45, 3960.63, 4520.02, 4146.39, 3729.26, 7645.4, 2380.92, 2428.83, 2998.37, 2806.35, 5553.95, 3828.92, 3700.84, 2457.35]","[18214.68, 19003.37, 18155.73, 17849.9, 17448.81, 17743.34, 17825.08, 17768.97, 18739.56, 19954.96, 20524.25, 20249.93, 20256.32, 21515.12, 22244.78, 22318.05, 23670.7, 23693.5, 23676.17, 25296.46, 24900.52, 24784.59, 25440.28, 27490.13, 29362.52, 30105.61, 30779.66, 31960.07, 32788.81, 33436.64, 37980.95, 37053.5, 36375.6, 36255.95, 35965.92, 38432.2, 38942.42, 39562.29, 41205.86]"
