language,chunk_size,speaker,wer,cer,comet-score,stt_time,tt_time,tts_time,total_time
en,3000,speaker_1,0.18143459915611815,0.11059907834101383,0.5233233571052551,"[554.3, 611.49, 509.93, 639.52, 624.08, 572.07, 513.49, 456.4, 532.4, 528.47, 487.55, 483.42, 479.15, 488.53, 513.39, 566.01, 503.35, 575.84, 541.32, 548.49, 602.71, 478.07, 485.42, 463.81, 437.26, 522.41, 520.27, 577.04, 600.64, 576.02, 521.03, 595.33, 550.56, 600.6]","[694.31, 1089.04, 1080.62, 1317.73, 1373.31, 1127.85, 879.02, 763.53, 856.04, 875.98, 618.78, 699.8, 831.03, 717.77, 651.44, 1128.28, 949.27, 834.94, 860.64, 904.71, 1112.14, 1032.67, 834.71, 799.11, 667.81, 788.12, 923.59, 1200.9, 1203.67, 981.61, 1055.92, 1031.23, 1003.99, 1338.24]","[7205.89, 8885.2, 3010.32, 6003.2, 3927.24, 3943.35, 2303.09, 2747.61, 2605.38, 1980.56, 1123.89, 2145.67, 1445.76, 2149.04, 2567.05, 3260.68, 2315.21, 2479.79, 2057.21, 3657.29, 3339.22, 2123.69, 2821.6, 2145.37, 2724.17, 3330.87, 3174.96, 5000.64, 2576.27, 3496.28, 3763.07, 4207.89, 5247.18, 3576.36]","[10530.53, 15739.96, 15688.94, 18623.27, 19284.6, 19752.15, 18787.63, 18086.67, 16607.96, 14915.58, 12793.31, 11687.01, 10073.65, 8747.01, 8199.98, 7396.14, 6653.34, 5271.18, 3459.56, 5111.62, 5054.53, 4131.64, 4142.92, 3409.32, 3830.83, 4641.85, 4764.6, 6779.11, 6092.83, 6526.74, 7216.67, 8370.85, 10563.39, 10281.87]"
en,3000,speaker_2,0.1310344827586207,0.10121716848174248,0.6031400561332703,"[544.36, 561.61, 555.64, 498.61, 524.69, 497.53, 503.0, 562.91, 538.42, 494.67, 533.5, 503.72, 506.26, 495.51, 529.35, 490.15, 561.04, 716.79, 498.3, 524.94, 525.55, 493.58, 520.04, 528.66, 562.9, 557.32, 517.84, 574.42, 469.63, 510.23, 590.45, 499.7, 513.98, 534.44, 518.58, 528.53, 521.97]","[476.26, 784.63, 900.63, 881.02, 923.07, 884.47, 741.78, 851.17, 887.78, 794.86, 943.6, 1006.98, 902.17, 891.06, 883.58, 856.73, 872.19, 961.56, 880.99, 791.6, 823.0, 740.55, 798.66, 903.24, 1097.75, 1148.93, 1044.78, 1067.2, 921.45, 828.73, 1160.02, 1214.82, 1064.1, 870.75, 717.63, 738.95, 1054.22]","[4054.19, 6054.14, 4610.48, 2615.34, 2978.01, 2677.16, 2157.09, 5177.97, 2449.51, 2290.87, 3903.31, 3189.71, 3167.7, 2738.34, 3172.6, 3171.96, 2829.15, 4029.21, 2776.5, 3451.05, 2958.12, 2693.94, 3488.77, 4409.39, 3600.3, 2692.27, 3115.88, 3853.84, 2098.52, 3397.45, 2858.72, 2711.6, 2533.58, 2115.53, 2145.11, 3661.42, 2939.3]","[8270.88, 11264.67, 12605.6, 12159.73, 12072.31, 11074.44, 9973.93, 11899.89, 10276.42, 9316.12, 10162.65, 10304.79, 10210.0, 9885.63, 9806.56, 9725.33, 9301.1, 10283.11, 10007.01, 10406.94, 9501.66, 9131.06, 8760.52, 10128.96, 10686.42, 10334.42, 10403.92, 10802.56, 9646.46, 8989.36, 8794.79, 8048.54, 7525.82, 6379.23, 5262.23, 5678.16, 4946.23]"
en,3000,speaker_3,0.19808306709265175,0.1432129514321295,0.5507160425186157,"[558.4, 519.07, 514.12, 538.12, 490.56, 497.08, 515.21, 510.91, 498.32, 542.02, 558.96, 566.43, 573.46, 519.64, 661.16, 1272.17, 578.01, 517.27, 522.43, 653.95, 532.19, 572.53, 608.87, 577.16, 566.86, 560.46, 576.12, 507.84, 541.9, 532.67, 688.4, 540.86, 523.3, 490.21, 568.73, 653.0]","[727.62, 772.61, 678.11, 1033.21, 1126.5, 895.94, 831.77, 778.78, 944.12, 916.37, 809.27, 968.21, 1048.87, 911.31, 863.04, 804.87, 861.42, 757.16, 861.79, 946.17, 939.31, 724.73, 1044.07, 1215.44, 895.37, 957.34, 997.02, 811.09, 785.68, 808.74, 946.5, 994.96, 780.86, 861.37, 1019.3, 1186.33]","[6386.0, 1804.25, 1916.13, 5164.65, 2530.59, 2498.33, 2101.52, 2897.8, 5362.76, 2808.29, 3179.56, 3894.26, 4493.92, 2823.29, 2738.98, 2257.12, 2574.4, 2230.74, 3343.19, 3218.82, 2527.24, 2969.12, 4862.09, 4651.83, 3509.32, 2663.31, 3860.92, 2321.0, 3552.72, 2673.89, 4302.49, 1917.69, 3178.79, 2794.12, 3156.04, 3477.7]","[11092.16, 9421.43, 8268.52, 9959.53, 9233.58, 8484.33, 6912.29, 6770.74, 9086.31, 8644.34, 8766.84, 9402.6, 10840.37, 10618.41, 9685.66, 8891.72, 7593.29, 6766.27, 7061.16, 6614.26, 6094.28, 5391.97, 6791.37, 7572.81, 8030.1, 6830.33, 7640.09, 6704.97, 7208.22, 6827.33, 7064.24, 5926.08, 6051.9, 5797.65, 5893.59, 5502.81]"
en,3000,speaker_4,0.1903323262839879,0.12603192074848651,0.5585005283355713,"[521.41, 550.56, 542.26, 572.91, 543.32, 593.77, 545.81, 599.66, 527.99, 535.55, 526.33, 569.02, 602.11, 538.37, 541.69, 504.91, 531.98, 481.42, 550.36, 565.05, 552.04, 544.88, 497.95, 505.18, 582.39, 570.65, 530.18, 547.2, 571.35, 578.94, 535.08, 608.66, 520.71, 552.77, 541.74, 618.7]","[547.11, 921.2, 823.63, 913.26, 827.54, 722.55, 1012.75, 806.48, 952.57, 911.28, 1033.28, 1216.08, 1221.37, 1188.76, 1052.02, 861.65, 815.1, 854.25, 960.68, 1074.41, 1102.78, 1075.33, 908.3, 853.99, 1073.24, 1163.8, 1021.51, 851.52, 939.74, 1074.87, 1101.03, 971.77, 1024.08, 745.64, 782.84, 933.2]","[5461.21, 6097.7, 2769.59, 3392.59, 2698.77, 2465.97, 3618.87, 3244.3, 4754.43, 3203.99, 4051.12, 4464.88, 3907.67, 2561.68, 4170.7, 2531.94, 3440.88, 3379.86, 3354.44, 3015.18, 3455.8, 3581.16, 3321.53, 2149.14, 3160.77, 3772.08, 3210.99, 2793.95, 3504.28, 5887.45, 3378.4, 3589.11, 2573.59, 2416.5, 2440.96, 2641.9]","[9617.9, 12660.97, 12365.58, 12688.38, 12323.27, 11516.42, 12085.56, 11456.95, 13166.06, 12914.46, 13504.4, 14923.24, 15564.89, 14871.32, 15946.92, 15371.4, 15526.16, 15828.86, 15884.28, 15813.94, 16185.28, 16060.56, 16304.81, 15141.01, 15210.5, 15884.69, 16023.08, 15723.93, 15929.18, 18301.92, 18383.12, 17863.44, 17161.97, 16490.76, 15655.43, 15183.93]"
en,3000,speaker_5,0.104,0.09454545454545454,0.6144611835479736,"[548.61, 510.72, 578.07, 534.65, 468.39, 598.21, 496.77, 551.64, 549.94, 539.34, 523.64, 585.39, 524.53, 551.91, 564.25, 554.38, 559.77, 611.72, 539.74, 579.63, 606.81, 506.51, 642.65, 583.7, 603.34, 614.71, 626.31, 589.21, 608.18, 510.42, 661.78, 559.75, 494.06, 551.54, 557.49, 560.58, 581.6]","[550.06, 896.12, 1090.94, 1106.13, 798.83, 878.21, 901.92, 534.02, 792.43, 928.58, 1056.55, 1123.68, 948.11, 766.7, 723.73, 897.94, 1208.62, 1285.84, 1070.44, 1095.33, 1379.27, 1123.81, 1273.62, 1708.43, 1542.01, 1480.73, 1317.64, 1261.64, 1279.48, 910.61, 827.11, 1014.39, 973.69, 960.1, 1046.83, 992.3, 1257.96]","[7222.31, 4760.31, 6324.65, 2808.94, 2471.99, 3169.02, 2719.71, 3153.69, 2882.35, 2571.92, 3318.65, 3712.19, 3136.91, 2656.98, 2153.81, 3833.27, 4243.48, 4439.68, 2112.19, 4761.18, 4933.07, 2689.46, 8224.97, 4231.24, 3771.88, 3811.2, 3318.23, 2563.02, 3815.88, 3189.19, 4065.68, 3488.45, 2118.46, 2992.11, 2588.19, 3426.89, 4054.98]","[11826.78, 13477.54, 16684.77, 16161.79, 15525.32, 15402.51, 15027.18, 14849.75, 14010.21, 13479.46, 13482.93, 14092.35, 13530.46, 13127.98, 12162.96, 12912.65, 14065.21, 15216.66, 14223.31, 15473.96, 17095.52, 16703.44, 21230.31, 21952.96, 22423.12, 23146.52, 23384.21, 22879.22, 22982.23, 22676.04, 23434.9, 23216.24, 22244.67, 22139.73, 21411.8, 21738.82, 22702.74]"
en,3000,speaker_6,0.17721518987341772,0.13387423935091278,0.6460686326026917,"[587.66, 575.38, 543.36, 536.82, 544.32, 530.21, 561.86, 551.71, 576.22, 538.84, 567.41, 539.95, 601.06, 550.39, 539.71, 524.59, 512.98, 499.77, 530.6, 571.66, 541.38, 507.0, 542.53, 589.52, 527.31, 518.2, 566.86, 623.41, 596.93, 10664.06, 657.95, 610.7, 644.76, 664.41, 674.41, 605.72, 583.6]","[808.22, 1083.61, 1016.24, 938.49, 910.31, 1002.49, 1107.31, 919.13, 1119.46, 1182.39, 946.68, 908.21, 993.57, 1023.82, 979.76, 944.87, 834.03, 809.82, 870.6, 1092.61, 1096.56, 836.94, 935.53, 1049.77, 969.54, 922.28, 944.06, 916.67, 1070.84, 2416.97, 1778.41, 1194.33, 1225.53, 1207.34, 1386.53, 1118.57, 1173.43]","[9958.56, 3517.95, 2672.52, 2299.8, 3150.01, 5013.7, 3779.05, 3592.48, 6206.21, 3791.65, 3294.22, 3549.63, 3913.93, 3488.64, 3636.0, 3668.73, 2814.96, 2755.23, 3354.2, 4269.3, 2941.05, 3076.61, 3218.05, 5426.01, 3423.65, 3095.67, 4993.61, 2816.4, 5037.33, 18866.87, 4297.47, 2423.49, 3865.64, 3746.3, 3464.78, 2248.54, 3263.81]","[14221.6, 14605.98, 13946.54, 13132.02, 12955.9, 14845.98, 15530.1, 15586.89, 18486.4, 19190.44, 19385.29, 19841.95, 20679.84, 20462.96, 20967.16, 21321.28, 21038.93, 20693.76, 20971.33, 22151.52, 21385.26, 21382.9, 21110.28, 22600.1, 22925.44, 22473.39, 23771.71, 23277.34, 24604.74, 40355.42, 41581.69, 40890.68, 41448.95, 42081.28, 42449.24, 41597.67, 41758.54]"
en,3000,speaker_7,0.13583815028901733,0.10538116591928251,0.6127484440803528,"[524.24, 515.95, 531.96, 563.68, 547.48, 565.08, 504.05, 506.24, 587.0, 570.55, 481.39, 552.18, 569.04, 589.16, 557.68, 542.88, 548.37, 526.25, 517.5, 599.63, 512.1, 544.08, 532.62, 562.03, 533.34, 515.45, 516.7, 576.62, 529.78, 692.97, 590.0, 562.66, 554.29, 550.15, 547.4, 572.68, 569.02, 488.54]","[703.36, 872.33, 854.86, 941.89, 1136.81, 982.35, 1031.82, 1189.08, 1166.36, 1268.19, 966.17, 827.2, 1120.62, 1471.46, 1030.14, 766.63, 1047.9, 1104.07, 1050.05, 1157.69, 1266.13, 1107.57, 1082.74, 1121.11, 1050.18, 909.79, 885.94, 985.29, 884.65, 867.91, 975.34, 1038.64, 908.34, 918.88, 1011.4, 1124.21, 1269.92, 963.18]","[6369.7, 2625.96, 2545.39, 5797.57, 3431.75, 2441.69, 3393.23, 2227.83, 3317.49, 2951.13, 2773.42, 2657.57, 6071.88, 5086.83, 2403.08, 2574.27, 4074.37, 3101.82, 3545.21, 3944.22, 2989.01, 3814.35, 3441.68, 3295.36, 2888.66, 2019.38, 2497.22, 3332.12, 2316.23, 2484.08, 3101.58, 3970.82, 2921.04, 3397.92, 4044.37, 2628.32, 3637.79, 1893.41]","[10607.4, 10124.69, 9132.7, 11614.1, 11115.51, 10447.61, 10790.66, 9765.67, 10037.83, 9542.8, 8652.43, 8257.91, 11062.05, 13100.07, 12441.71, 11550.26, 11740.65, 11782.47, 12081.31, 12967.76, 12902.55, 12853.17, 13247.56, 13484.09, 13133.39, 12100.34, 11543.31, 11615.1, 10866.88, 10289.43, 10326.81, 11250.36, 10912.4, 11247.93, 12249.14, 11831.96, 12414.63, 11063.82]"
en,3000,speaker_8,0.12571428571428572,0.08902575587905935,0.6509587168693542,"[587.34, 2133.68, 559.45, 563.62, 617.67, 508.77, 509.5, 509.58, 507.09, 522.68, 550.23, 568.62, 605.62, 631.02, 574.39, 585.81, 545.61, 555.89, 587.95, 509.9, 541.3, 553.62, 589.75, 569.99, 566.86, 532.89, 570.87, 579.38, 507.62, 582.72, 533.26, 577.94, 557.79, 638.1, 526.23, 675.49, 535.88]","[1066.39, 1349.03, 911.57, 896.81, 977.89, 965.19, 714.61, 798.48, 886.39, 908.09, 1008.24, 1148.79, 1140.05, 944.16, 825.44, 899.51, 1020.5, 1008.13, 1155.77, 893.7, 876.82, 997.3, 1046.14, 1013.78, 827.81, 915.24, 960.68, 1013.98, 910.02, 973.08, 1065.93, 1026.78, 997.55, 929.07, 935.95, 1258.02, 1069.94]","[7890.33, 2512.05, 2679.04, 2548.91, 2826.03, 2248.49, 2453.62, 2765.94, 2477.98, 6219.69, 2944.46, 4178.26, 4867.93, 2872.29, 2489.3, 3556.05, 4048.17, 3238.72, 4951.2, 2267.27, 3860.03, 1810.04, 4487.81, 3098.75, 3611.55, 2473.71, 3783.25, 3411.24, 1907.05, 6292.44, 4156.66, 3262.86, 2655.82, 3090.53, 2894.87, 4022.25, 3296.58]","[12614.69, 12062.53, 11669.75, 11161.45, 10711.14, 9908.22, 9314.77, 9023.59, 8462.14, 11437.87, 11331.42, 12452.49, 14254.92, 14065.05, 13294.46, 13788.95, 14784.06, 14966.49, 16863.04, 15888.37, 16687.35, 15437.53, 16862.66, 16911.03, 17256.04, 16682.28, 17415.95, 17774.16, 16630.05, 19675.88, 19963.03, 20169.44, 19772.2, 19814.17, 19450.43, 20415.99, 20662.87]"
en,3000,speaker_9,0.11466666666666667,0.08380173735309146,0.589036226272583,"[574.24, 626.66, 557.06, 560.46, 596.08, 644.97, 520.46, 526.43, 557.34, 605.83, 663.8, 529.27, 606.13, 589.07, 498.24, 531.91, 564.27, 470.68, 542.68, 550.82, 576.12, 578.72, 536.3, 534.46, 568.56, 503.76, 504.52, 497.07, 561.09, 570.2, 542.71, 527.52, 518.63, 591.06, 525.48, 566.17, 578.33]","[1231.67, 1243.74, 1435.28, 1471.66, 1298.58, 1251.4, 1203.48, 886.76, 937.36, 1259.83, 1403.48, 1146.31, 1029.67, 1197.29, 975.99, 860.59, 844.97, 795.55, 929.56, 1360.69, 1250.14, 1230.99, 1031.64, 979.03, 1228.99, 1121.65, 923.03, 847.21, 1149.01, 1231.62, 850.93, 834.2, 870.38, 960.05, 994.39, 1040.29, 1493.72]","[11202.29, 4088.19, 3718.37, 4049.02, 5777.87, 7581.99, 3356.25, 2792.13, 3598.26, 4102.25, 4484.64, 3643.49, 3741.92, 3891.9, 3511.64, 2788.08, 2993.33, 2490.39, 3747.48, 4099.29, 2970.94, 3946.67, 3042.54, 2724.78, 4380.72, 2695.92, 2532.93, 3586.27, 4083.91, 2590.83, 3446.4, 2664.35, 2810.0, 3252.12, 3028.69, 3650.6, 9312.82]","[15632.5, 16238.52, 16896.3, 17669.01, 20376.16, 24882.48, 25192.08, 24324.68, 24878.44, 25730.41, 27166.83, 27770.56, 28464.14, 29293.81, 29552.3, 29280.35, 29164.73, 27961.03, 28627.1, 29637.61, 29316.47, 29749.09, 29472.2, 29098.15, 30415.62, 30026.91, 29488.51, 29760.85, 30768.67, 29879.11, 30222.34, 29588.04, 29273.7, 29452.47, 28972.64, 29531.26, 34926.79]"
en,3000,speaker_10,0.14035087719298245,0.10841507485802789,0.6283681988716125,"[528.58, 531.68, 483.83, 536.34, 510.15, 482.05, 536.94, 513.26, 580.89, 546.94, 560.48, 519.93, 519.69, 603.76, 538.07, 513.53, 582.97, 522.84, 499.01, 576.49, 528.82, 523.95, 568.89, 599.21, 557.49, 562.71, 576.97, 540.98, 536.96, 612.52, 593.03, 482.61, 487.77, 585.4, 532.78, 621.48, 546.01, 532.48]","[1276.14, 1219.42, 906.4, 781.81, 925.02, 897.79, 906.95, 913.52, 1115.27, 1422.73, 1292.0, 975.95, 892.14, 1188.98, 1245.9, 1158.34, 1287.79, 1187.1, 1189.71, 1254.3, 1181.94, 966.44, 1184.76, 1273.26, 1245.74, 1332.1, 1240.01, 1077.65, 1022.69, 1164.53, 1349.49, 992.6, 678.98, 755.22, 799.5, 1280.17, 1208.88, 1007.61]","[11448.08, 3871.14, 2124.9, 3033.49, 2651.37, 3012.63, 3409.21, 3168.93, 4005.1, 3659.46, 3402.09, 2931.02, 3170.14, 4968.71, 3439.21, 3553.85, 4279.68, 3510.9, 2557.41, 4538.86, 2864.04, 2634.96, 3852.23, 4182.28, 4442.79, 3431.83, 3884.21, 4115.04, 3622.45, 3500.67, 8446.7, 2286.17, 2186.99, 2663.0, 2502.38, 4349.19, 2997.27, 3290.96]","[16137.6, 16670.74, 15477.77, 14992.07, 14539.34, 14431.71, 14563.48, 14431.28, 15339.33, 15678.09, 15963.84, 15586.69, 15464.22, 17107.64, 17463.74, 17919.42, 18904.45, 19309.47, 18784.36, 19409.39, 18776.66, 18318.85, 19116.22, 20185.36, 21315.65, 21655.7, 22228.26, 23051.95, 23397.28, 23792.28, 29168.25, 28186.86, 27272.4, 26824.27, 26258.76, 27533.79, 27225.34, 27436.22]"
